target,trial,is_best_for_target,val_mae,val_wmae,best_iteration,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,use_sample_weights,weight_alpha,weight_p,weight_clip_max
target_bow_precision__full,44,0,0.03735338095368986,,160,600,3,0.02,1.0,0.8,1,0.1,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,45,0,0.03747288039185272,,399,400,5,0.01,0.6,1.0,1,0.1,0.0,0.5,0,5.0,2.0,50.0
target_bow_precision__full,46,0,0.0366420102136371,,64,1600,7,0.05,1.0,0.8,1,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,47,0,0.03385113363114951,,330,800,4,0.02,0.6,0.6,10,0.0,0.5,1.0,0,5.0,2.0,50.0
target_bow_precision__full,48,0,0.03656118726385436,,245,600,5,0.03,0.8,0.6,5,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,49,0,0.037184762673950815,,279,600,6,0.02,0.6,1.0,1,0.1,0.1,0.5,0,5.0,2.0,50.0
target_bow_precision__full,50,0,0.04144686746692592,,84,400,3,0.03,1.0,0.8,10,0.3,0.0,1.0,0,5.0,2.0,50.0
target_bow_precision__full,51,0,0.037693824469230315,,156,1000,6,0.02,1.0,0.8,5,0.1,0.5,0.5,0,5.0,2.0,50.0
target_bow_precision__full,52,0,0.040264506513524784,,199,1000,7,0.05,0.8,0.6,1,0.3,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,53,0,0.03379981988973782,,732,1600,4,0.01,0.8,0.6,5,0.0,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,54,0,0.03647479928462861,,32,400,3,0.1,1.0,1.0,3,0.1,0.1,2.0,0,5.0,2.0,50.0
target_bow_precision__full,55,0,0.03736882209912167,,108,1000,3,0.03,1.0,0.8,5,0.1,0.0,2.0,0,5.0,2.0,50.0
target_bow_precision__full,56,0,0.037478605367792114,,322,1000,4,0.01,1.0,0.6,5,0.1,0.5,2.0,0,5.0,2.0,50.0
target_bow_precision__full,57,0,0.036990517482899075,,510,1600,3,0.01,0.6,1.0,10,0.1,0.0,1.0,0,5.0,2.0,50.0
